id,funding_round_id,startup_id,funding_id,created_at,updated_at,startup_name,funding_first_name,funding_last_name,parent_id,category_code,status,country_code,state_code,city,region,funding_total_usd
71225,19650,c:55661,p:168,10/29/10 4:25,6/26/13 20:40,ReadyForZero,Steve,Chen,55661,finance,operating,USA,CA,San Francisco,SF Bay,4777000
71227,19650,c:55661,p:41942,10/29/10 4:25,6/26/13 20:40,ReadyForZero,Maneesh,Arora,55661,finance,operating,USA,CA,San Francisco,SF Bay,4777000
71226,19650,c:55661,p:70891,10/29/10 4:25,6/26/13 20:40,ReadyForZero,Nils,Johnson,55661,finance,operating,USA,CA,San Francisco,SF Bay,4777000
76932,35503,c:55667,p:3729,2/13/13 4:45,7/26/13 9:45,Consumer United,Matt,Coffin,55667,finance,operating,USA,MA,Boston,Boston,52500000
71089,18906,c:55715,p:1707,10/8/10 11:56,2/11/11 3:51,Podio,Tommy,Ahlers,55715,enterprise,acquired,DNK,0,Copenhagen,DNK,4600000
73214,25565,c:55715,p:70858,9/23/11 16:53,4/14/12 3:22,Podio,Thomas,Madsen-Mygdal,55715,enterprise,acquired,DNK,0,Copenhagen,DNK,4600000
70917,18087,c:55775,p:30645,9/3/10 12:18,9/3/10 22:16,TheCommentor,#N/A,#N/A,55775,web,operating,LVA,0,Riga,Riga,148680
68523,2324,c:5585,p:11136,5/20/08 5:51,5/11/11 23:21,Aster Data Systems,David,Cheriton,5585,analytics,acquired,USA,CA,San Carlos,SF Bay,53000000
71037,18492,c:5585,p:11136,9/23/10 2:38,9/23/10 2:38,Aster Data Systems,David,Cheriton,5585,analytics,acquired,USA,CA,San Carlos,SF Bay,53000000
68525,2324,c:5585,p:125,5/20/08 5:51,5/11/11 23:21,Aster Data Systems,Ron,Conway,5585,analytics,acquired,USA,CA,San Carlos,SF Bay,53000000
68524,2324,c:5585,p:497,5/20/08 5:51,5/11/11 23:21,Aster Data Systems,Anand,Rajaraman,5585,analytics,acquired,USA,CA,San Carlos,SF Bay,53000000
73423,26159,c:55940,p:114459,10/26/11 2:25,11/6/13 15:11,mobli,Leonardo,DiCaprio,55940,web,operating,USA,NY,New York,New York,86000000
75868,32716,c:55940,p:152879,9/20/12 3:09,11/6/13 12:13,mobli,Kenges,Rakishev,55940,web,operating,USA,NY,New York,New York,86000000
73424,26159,c:55940,p:253666,10/26/11 2:25,11/6/13 15:11,mobli,Tobey,Maguire,55940,web,operating,USA,NY,New York,New York,86000000
80340,53954,c:55940,p:253666,11/6/13 12:13,11/6/13 15:10,mobli,Tobey,Maguire,55940,web,operating,USA,NY,New York,New York,86000000
73425,26159,c:55940,p:253667,10/26/11 2:25,11/6/13 15:11,mobli,Serena,Williams,55940,web,operating,USA,NY,New York,New York,86000000
80341,53954,c:55940,p:253667,11/6/13 12:13,11/6/13 15:10,mobli,Serena,Williams,55940,web,operating,USA,NY,New York,New York,86000000
80343,53954,c:55940,p:27149,11/6/13 12:13,11/6/13 15:10,mobli,Carlos,Slim,55940,web,operating,USA,NY,New York,New York,86000000
80342,53954,c:55940,p:8594,11/6/13 12:13,11/6/13 15:10,mobli,Lance,Armstrong,55940,web,operating,USA,NY,New York,New York,86000000
71376,20259,c:55943,p:62554,11/29/10 4:02,4/29/13 5:32,Ambiq Micro,John,Ives,55943,semiconductor,operating,USA,MI,Ann Arbor,Detroit,21268609
70920,18137,c:56049,p:26,9/7/10 19:45,9/7/10 19:45,YouAre.TV,Peter,Thiel,56049,games_video,operating,USA,NY,New York,New York,1150000
70922,18137,c:56049,p:64875,9/7/10 19:45,9/7/10 19:45,YouAre.TV,David,Tisch,56049,games_video,operating,USA,NY,New York,New York,1150000
70921,18137,c:56049,p:67314,9/7/10 19:45,9/7/10 19:45,YouAre.TV,David,Kidder,56049,games_video,operating,USA,NY,New York,New York,1150000
69085,4674,c:5607,p:11659,1/19/09 18:14,8/26/13 22:27,Fliqz,Don,Hutchison,5607,games_video,acquired,USA,CA,Emeryville,SF Bay,12200000
69084,4674,c:5607,p:27101,1/19/09 18:14,8/26/13 22:27,Fliqz,Wilson,Sonsini,5607,games_video,acquired,USA,CA,Emeryville,SF Bay,12200000
71179,19415,c:56138,p:18479,10/21/10 14:41,10/22/10 0:06,Unsubscribe.com,Timothy,Ferriss,56138,web,acquired,USA,CA,Santa Monica,Los Angeles,2100000
71174,19415,c:56138,p:2359,10/21/10 14:41,10/22/10 0:06,Unsubscribe.com,Matt,Brezina,56138,web,acquired,USA,CA,Santa Monica,Los Angeles,2100000
71176,19415,c:56138,p:2503,10/21/10 14:41,10/22/10 0:06,Unsubscribe.com,Robin,Richards,56138,web,acquired,USA,CA,Santa Monica,Los Angeles,2100000
71173,19415,c:56138,p:3729,10/21/10 14:41,10/22/10 0:06,Unsubscribe.com,Matt,Coffin,56138,web,acquired,USA,CA,Santa Monica,Los Angeles,2100000
70924,18172,c:56138,p:4464,9/8/10 19:50,10/22/10 0:06,Unsubscribe.com,James,Siminoff,56138,web,acquired,USA,CA,Santa Monica,Los Angeles,2100000
70925,18172,c:56138,p:59137,9/8/10 19:50,10/22/10 0:06,Unsubscribe.com,Joshua,Roth,56138,web,acquired,USA,CA,Santa Monica,Los Angeles,2100000
71177,19415,c:56138,p:70448,10/21/10 14:41,10/22/10 0:06,Unsubscribe.com,Randall,Kaplan,56138,web,acquired,USA,CA,Santa Monica,Los Angeles,2100000
71175,19415,c:56138,p:71052,10/21/10 14:41,10/22/10 0:06,Unsubscribe.com,Sean,Ellis,56138,web,acquired,USA,CA,Santa Monica,Los Angeles,2100000
71178,19415,c:56138,p:72607,10/21/10 14:41,10/22/10 0:06,Unsubscribe.com,Ken,Kastner,56138,web,acquired,USA,CA,Santa Monica,Los Angeles,2100000
